martillazo	hammer blow
monaguillo	altar boy
rendir	to produce
dinanimizar	to revitalize
prestación	benefit, provision
mancha	stain
cubo	bucket; cube
manta	blanket
mopa	mop
armario	closet
trapear	to mop
enjuagar	to rinse
toaillita	facecloth
hijastro	stepson
cuñado	brother-in-law
yerno	son-in-law
bisabuelo	great-grandfather
ajihado	godson
pisar	to step on
arribar	to arrive; to land
rendirse	to quit
vulnerar	to damage
nefasto	disastrous
ladrido	bark
mordedura	bite
destornillador	screwdriver
sien	temple (of head)
evitar	to avoid
perturbador	disturbing
orador	speaker
encuentro	meeting
inverosímil	implausible, improbable
vejez	old age
desvanecer	to dispel, to fade
desgaste	wear and tear
atender	to look after
