esfuerzo | effort, endeavor
maestro | teacher (m), master
siete | seven
enfermedad | illness, sickness
teatro | theater, drama
acompañar | to accompany
estilo | style
construir | to construct, build
cama | bed (furniture)
enseñar | to teach, show
cubrir | to cover
siquiera | even (if)
salud | health
oficial | official, authorized
presencia | presence, appearance
interesante | interesting
ayer | yesterday
central | central
comunicación | communication
cielo | sky, heaven, ceiling
control | control
niña | child, young girl
mal | evil
norte | north
plan | plan
entregar | to deliver
carta | letter, (playing) card
colegio | (high) school, college
policía | police, police force, police officer
llorar | to cry
enorme | enormous, vast
figura | figure
capacidad | capacity
comentar | to comment on
orientar | to guide, show the way
afirmar | to assert, affirm
calidad | quality
compañía | company
jamás | never
fuente | source, fountain
ocho | eight
tamaño | size, dimension
materia | matter, subject
doctor | doctor
capaz | capable, able
dirección | direction, address
aumentar | to increase
superior | superior, upper
responsable | responsible
casar | to marry
