cuidar | to take care of
informar | to inform
texto | text
elección | election, choice
cortar | to cut
fecha | date, day
especialmente | especially
profundo | deep, profound
conocido | known, well known
unir | to unite, join (together)
alemán | German
actuar | to act
salvar | to save, rescue
aplicar | to apply
extranjero | foreigner
respecto | con r. a: regarding
entrada | entrance, admission ticket
planta | plant, floor
hija | daughter
negar | to deny, refuse
recuerdo | memory, keepsake
avanzar | to advance, progress
consecuencia | consequence
piedra | stone, rock
costar | to cost, be hard
pierna | leg
funcionar | to work, function
pared | (interior) wall
motivo | motive, cause
deseo | desire, wish
suficiente | sufficient, enough
ropa | clothes, clothing
abuela | grandmother
ayuda | help, aid
anunciar | to announce, advertise
reunir | to gather, meet, collect
disponer | to have means, dispose
abajo | down, below, downward
sostener | to support, hold up
popular | popular
precisamente | precisely
visitar | to visit
construcción | construction
contener | to contain
estudiante | student
fiesta | party, feast
lucha | fight, struggle, wrestle
metro | meter, subway
mañana | tomorrow
rato | moment, while, time
