colocar | to place, position
oscuro | dark, obscure
sombra | shade, shadow
expresión | expression
separar | to separate
plaza | square, marketplace
vivo | alive, bright
vecino | neighbor
pretender | to attempt
isla | island
azul | blue
verde | green
carácter | personality, nature
viento | wind, scent
cruzar | to cross
completo | complete
artista | artist, performer
contacto | contact
veinte | twenty
invitar | to invite
religioso | religious
cargo | position, charge, fee
nación | nation
ministro | (government) secretary, minister
televisión | TV, television
determinado | determined, fixed
memoria | memory
recoger | to pick up
treinta | thirty
histórico | historical
extender | to extend, spread
espíritu | spirit, ghost
lejos | far (away, off)
mitad | half, middle
actitud | attitude
solución | solution, answer
público | public, audience
basar | to base on, base upon
totalmente | totally, completely
total | total, entire
sala | room, hall
acerca | about, concerning
par | pair, couple (m); a la p.: at same time
apoyo | support, backing
territorio | territory
loco | crazy, insane
mensaje | message
unidad | unit, unity
mexicano | Mexican
práctica | practice, skill
