teoría | theory
preocupar | to worry
cuento | story, tale
exigir | to demand
mejorar | to improve, get better
serio | serious
edificio | building
técnica | technique, skill
noticia | news
carne | meat, flesh
moderno | modern
alumno | student, pupil
oro | gold
escritor | writer
papá | dad
teléfono | phone, telephone
resolver | to resolve, settle, work out
concepto | concept
interior | interior, inside
rápido | quick, fast
crisis | crisis
civil | civil
pelo | hair
formación | formation, education
simple | simple, mere, simpleminded
comercial | commercial, shopping
riesgo | risk
imponer | to impose, enforce
fundamental | fundamental
amplio | wide, ample, broad
afectar | to affect
foto | photo, picture
reducir | to reduce
fuego | fire, gunfire
aprovechar | to take advantage of
celebrar | to celebrate
error | error, mistake
perro | dog
piso | floor, story
gusto | pleasure, taste, preference
bonito | pretty, nice
medir | to measure
pareja | couple, pair
despertar | to wake (up), arouse
pesar | to weigh
costa | coast
enfrentar | to confront, face
corresponder | to correspond with
escapar | to escape
causar | to cause, bring about
