matrimonio | marriage, married couple
familiar | familiar, of the family
dificultad | difficulty, obstacle
víctima | victim, casualty
líder | leader
básico | basic, essential
equilibrar | to balance
participación | participation, involvement
idioma | (specific) language
saltar | to jump, leap, hop
unión | union
ejercicio | exercise, practice
hotel | hotel
culpa | blame, fault
diciembre | December
inmediato | immediate
régimen | regime, diet
juez | judge
beneficio | benefit, profit
peligro | danger, menace
intención | intention
amiga | friend (f)
enero | January
norma | standard, pattern, norm
opción | option, choice
americano | American
independiente | independent, self-sufficient
acceso | access, entry
sábado | Saturday
vídeo | video
corte | court (f), cut (m)
manejar | to drive, handle
seco | dry, arid
ordenar | to put in order, organize
completamente | completely
indio | Indian
caber | to fit (into)
positivo | positive
lista | list, roster, roll
coche | car, carriage
respetar | to respect
inversión | investment, outlay
directamente | directly, straight away
límite | limit
jardín | garden
placer | pleasure
patio | courtyard, playground, yard
encargar | to entrust, [se] take charge of
concluir | to conclude, finish
asistir | to attend
