cerrado | closed
encantar | to be very pleasing to
literario | literary
seguramente | surely, securely
tía | aunt
comienzo | start, beginning
lectura | reading
asumir | to assume, take on
componer | to compose, be part of
propósito | intention, purpose
abogado | lawyer
funcionario | civil servant
hogar | home, hearth
cocina | kitchen
quince | fifteen
merecer | to deserve, be worthy (of)
masa | mass, dough, bulk, crowd
revelar | to reveal, disclose
reflejar | to reflect
alegría | joy, happiness
exponer | to expound, expose
tradicional | traditional
adecuado | adequate, suitable
relacionar | to relate
dominar | to dominate, master
pese | in spite of
británico | British
enterar | to find out [se]
fenómeno | phenomenon
musical | musical
marzo | March
espejo | mirror, reflection
obstante | however, nevertheless
ejercer | to practice, exercise
periodista | journalist
ministerio | ministry
situar | to situate, place, locate
género | sort, gender, genre
dueño | owner, landlord (m)
luna | moon
tender | to tend to, lay out
octubre | October
concreto | concrete, real
plazo | deadline, installment
hola | hello, hi
terrible | terrible
recomendar | to recommend
aprobar | to pass (test), approve
incorporar | to incorporate, include
comisión | commission, committee
