comprobar | to verify, prove
rechazar | to reject
cargar | to load (up), carry
raíz | root
integrar | to integrate, fit in
temperatura | temperature
señal | sign, mark, token
financiero | financial
frecuencia | frequency
discutir | to argue, discuss
banda | (musical) band, sash
confirmar | to confirm
transmitir | to transmit, broadcast
arreglar | to fix, arrange
secretario | secretary
candidato | candidate
exposición | exhibition, display
apuntar | to point, note, aim
daño | harm, injury, damage
club | club, society
atravesar | to cross
novio | boyfriend, groom
bailar | to dance
llamada | call, knock
cruz | cross, burden
punta | tip, point
juventud | youth
acaso | by chance, maybe
pintar | to paint
industrial | industrial
torno | en t. a: around
lindo | pretty, nice, lovely
intelectual | intellectual
derecho | right, straight
referencia | reference, allusion
sujeto | subject, individual
despedir | to say goodbye (to), dismiss
religión | religion
probablemente | probably
baño | bathroom, bath, swim
enseñanza | teaching, instruction
pan | bread
aportar | to provide, contribute
vino | wine
demanda | petition, request, demand
extraordinario | extraordinary, exceptional
adoptar | to adopt
desconocido | unknown
chino | Chinese
fotografía | photograph
