dado | d. que: given that
aproximadamente | approximately
indígena | indigenous, native
atacar | to attack
aclarar | to clarify, clear up
perdonar | to forgive, excuse
frontera | border, frontier
soportar | to endure, stand (something)
rápidamente | rapidly, quickly
cabello | hair
justo | just
amistad | friendship
profesión | profession, occupation
copa | cup, glass, top (tree)
tienda | shop, store, tent
gas | gas
evento | event
soltar | to release, loosen, let out
kilómetro | kilometer
círculo | circle, club
nervioso | nervous, uptight
salvo | except for, but
atraer | to attract
callar | to be/make quiet
fiel | faithful, loyal
maravilloso | wonderful, marvelous
vivienda | housing, dwelling
mecanismo | mechanism
pago | payment
comité | committee, commission
preocupación | worry, concern
hundir | to sink, submerge
actor | actor
inmenso | immense, vast, huge
cifra | figure, number, amount
esquina | corner
municipio | municipality, town
conclusión | conclusion, end
trasladar | to move, transfer
emitir | to emit, give (off)
posterior | rear, backside
facultad | faculty, ability
auto | auto, car
escaso | scarce, very little
inventar | to invent, make up
excelente | excellent
opinar | to think, be of the opinion
disposición | disposal, disposition
ajeno | not belonging to, detached
personalidad | personality, celebrity
