promover | to promote
adentro | inside
universo | universe
llegada | arrival
registrar | to register, record
proceder | to proceed, start
pájaro | bird
poderoso | powerful
vaso | (drinking) glass, vase
laboral | labor, industry
colombiano | Colombian
biblioteca | library
consiguiente | por c.: consequently
alzar | to lift, raise
garantizar | to guarantee
comportamiento | behavior, conduct
plano | plane, map, level
ausencia | absence
electrónico | electronic
fase | phase, stage
agarrar | to grasp, catch
espectáculo | spectacle, show
selección | selection, choice
etcétera | etcetera
oscuridad | darkness
intervención | intervention
arquitectura | architecture
procedimiento | procedure, proceedings
doler | to hurt
animar | to cheer up
iniciativa | initiative
colección | collection
ámbito | sphere, space
confundir | to confuse
químico | chemical
evidente | evident, obvious
democrático | democratic
correo | mail, post (office)
unido | united
representación | representation
prohibir | to prohibit, forbid
increíble | incredible, unbelievable
polvo | dust, powder
delito | crime, offense
ruso | Russian
saludo | greeting
ocultar | to hide
quemar | to burn
hueso | bone
jueves | Thursday
