perspectiva | perspective
interrumpir | to interrupt
tribunal | court
guardia | guard, watch, lookout
confiar | to trust, confide
crédito | credit, reputation
principalmente | principally, mainly
valle | valley
oído | hearing, ear
conducta | conduct, behavior
accidente | accident, irregularity
compra | shopping, buy, purchase
brindar | to offer
modificar | to modify
debate | debate
facilitar | to facilitate
encerrar | to shut (in)
acontecimiento | event, happening
colgar | to hang (up)
ignorar | to be unaware
felicidad | happiness
arena | sand
mentira | lie
argumento | argument, plot
clima | climate
lavar | to wash
anciano | old person
influir | to (have) influence
gordo | fat, thick
sugerir | to suggest, hint at
electoral | electoral
experimentar | to experience, experiment
reloj | clock, watch
listo | ready, clever, smart
paisaje | landscape
norteamericano | North American
abrazar | to hug, embrace
sección | section, cut
traje | suit, dress, costume
independencia | independence
breve | brief, short
individual | individual
segundo | second
equivocar | to be wrong
investigador | researcher, investigator
normalmente | normally
vestido | dress
confesar | to confess, admit
discusión | discussion, argument
once | eleven
