cristal | glass, crystal, window
permanente | permanent
urbano | urban, city, urbane
gozar | to enjoy
palacio | palace
infantil | of children, childlike, infantile
costo | price, cost, expense
firma | company, signature, signing
órgano | organ
limpio | clean
científico | scientist
acusar | to accuse
limpiar | to clean
privar | to deprive (of)
puente | bridge
signo | sign, mark, symbol
tuyo | yours (sg/+fam)
carretera | highway, road
orquesta | orchestra, dance band
hierro | iron
inteligencia | intelligence
salón | hall, room
femenino | feminine, female
ciclo | cycle
aparato | apparatus, device
dibujo | drawing, sketch
revolucionario | revolutionary
gato | cat
perdón | forgiveness, pardon
capítulo | chapter
cero | zero, naught, nil
deuda | debt
ilusión | illusion, hope, dream
honor | honor, honesty
oferta | offer, bid, supply
montón | lot of, heap, pile
auténtico | authentic
capa | layer, coat
vuelo | flight
resistir | to resist, endure
pasear | to go for a walk, ride
delante | (in) front (of), ahead
revisar | to check, revise, inspect
código | code
disminuir | to decrease, diminish
habitual | usual, habitual, customary
presentación | presentation, introduction
vuestro | your (pl/+fam)
descansar | to rest
nacimiento | birth, origin
