gris | gray, gloomy
judío | Jew
inútil | useless
estimar | to estimate, hold in esteem
largo | a lo l.: throughout, length
posteriormente | afterwards
absurdo | absurd
respirar | to breathe
ubicar | to find, locate
dominio | power, control
eterno | eternal
presupuesto | budget
división | division
metal | metal
efectivo | effective
apretar | to squeeze, tighten, compress
resistencia | resistance, opposition
acceder | to consent, agree, accede
operar | to operate
empleado | employee
variar | to change, vary
previo | previous
aventura | adventure
capitán | captain, chief
otorgar | to give, grant, award
precioso | beautiful, precious
asimismo | as well, also, moreover
fino | fine, delicate
humo | smoke
apagar | to turn off, extinguish
consultar | to consult
justo | fair, just
enamorar | to fall in love
borde | edge
aparición | appearance, apparition
regreso | return
reclamar | to demand, require
obrero | worker, laborer
escalera | stairs, ladder
cura | priest (m), cure (f)
universal | universal
latino | Latin
suave | soft, gentle, mild
efectivamente | in fact, actually, indeed
judicial | judicial
amenazar | to threaten
motor | engine, motor
acostar | to put/go to bed
arrojar | to throw, fling
triunfo | triumph, victory
