caracterizar | to characterize, portray
pantalla | screen, monitor
llave | key, faucet, wrench
sucio | dirty, filthy, underhanded
ánimo | zest, spirit, heart
conversar | to converse, talk
carro | car, cart
alimentar | to feed, support
tremendo | tremendous, dreadful, huge
dulce | sweet
armar | to arm, put together
consciente | conscious, aware
impacto | impact
roca | rock
contemporáneo | contemporary
gastar | to spend (money)
cola | line, queue, tail
crítico | critical
columna | column, spine
escala | scale, ladder, rank
humor | mood, humor
esencial | essential
camisa | shirt
muro | (outer) wall, rampart
rueda | wheel
sustancia | substance, essence
testigo | witness
botella | bottle, flask
aguantar | to endure, put up with
estatal | state, government-owned
comunista | communist
denunciar | to denounce
fumar | to smoke
descender | to descend
ejecutar | to execute, carry out
inclinar | to bow, tilt, incline
chileno | Chilean
acariciar | to stroke, fondle, caress
espiritual | spiritual
justificar | to justify, excuse
entorno | environment, surroundings
húmedo | humid, damp
sustituir | to substitute, replace
verdaderamente | truly
llamado | call, calling
amenaza | threat
jornada | (working) day, shift
únicamente | only
perdido | lost
rayo | ray, beam, lightning
