preferible | preferable
potencia | power, potential
conformar | to conform
semejante | similar, such, alike
vidrio | glass, pane
imaginación | imagination, fantasy
oración | prayer
sobrevivir | to survive, outlive
reflexión | reflection
pelear | to fight, struggle
corredor | broker, corridor, runner
relativo | relative
esposo | husband, spouse
fruto | fruit, result
gloria | glory, fame
dimensión | dimension, size
correspondiente | corresponding
escoger | to choose
externo | external, outward
violento | violent
junta | meeting, conference, seam
familiar | relative
claro | of course, clearly
conforme | in agreement with
fruta | fruit
protagonista | protagonist, main character
tropa | troops, forces
descubrimiento | discovery
sacerdote | priest
ligero | light (in weight), slight
avenida | avenue
reconocimiento | recognition, acknowledgment
respectar | to concern
típico | typical
excepción | exception
ingeniero | engineer
pobreza | poverty, lack, scarcity
bar | (snack) bar, café
setenta | seventy
significativo | significant, meaningful
fabricar | to manufacture
quejar | to complain
procurar | to try, seek
cariño | love, affection
lucir | to show (off), shine
débil | weak
calcular | to calculate, figure out
oler | to smell
contento | happy, content
continente | continent
