conceder | to grant, concede
anual | annual, yearly
alcance | reach, scope
monte | mountain
ceder | to give way, yield
peseta | peseta (money)
jurídico | legal, juridical
tarjeta | card
temblar | to tremble, shake
colonia | colony, cologne
sano | healthy, wholesome
plástico | plastic
registro | register, record
combinar | to combine
firme | firm, steady
condenar | to convict, condemn
ochenta | eighty
liberar | to free, liberate
tensión | tension, stress, strain
divino | divine
herida | wound
sesión | session, meeting
conectar | to connect, plug in
evidentemente | evidently, obviously
oh | oh
fila | line, row, file
contexto | context
hilo | thread, yarn, wire
vergüenza | embarrassment
administrativo | administrative
engañar | to trick, deceive
raza | race, lineage
cáncer | cancer
juntar | to bring together
caída | fall, drop, falling
regalo | gift, present
castellano | Castilian, Spanish
angustia | anguish, distress
elaborar | to make, develop
pronunciar | to pronounce
templo | temple, church
peruano | Peruvian
tristeza | sadness
huevo | egg
ala | wing, flank
novia | girlfriend, bride
agradable | nice, pleasant
socialista | socialist
cultivo | cultivation, crop
juzgar | to judge
